sec,name,horizon,n,model_hit,wilson_lo,wilson_hi,mom20_hit,mom5_hit,model_correct,model_p
sh601318,中国平安,5,155,0.5419,0.4634,0.6184,0.4645,0.4839,84,0.33514
sh601318,中国平安,10,155,0.5871,0.5084,0.6616,0.4581,0.4839,91,0.03642
sh601318,中国平安,15,155,0.5161,0.438,0.5935,0.4968,0.4839,80,0.74811
sh601318,中国平安,20,155,0.5419,0.4634,0.6184,0.4968,0.4839,84,0.33514
sh601318,中国平安,30,155,0.5742,0.4955,0.6493,0.5097,0.4968,89,0.07688
sz002185,华天科技,5,155,0.5548,0.4762,0.6308,0.4258,0.4258,86,0.19858
sz002185,华天科技,10,155,0.5613,0.4826,0.637,0.4065,0.5032,87,0.148
sz002185,华天科技,15,155,0.5806,0.5019,0.6555,0.4129,0.5032,90,0.05354
sz002185,华天科技,20,155,0.5484,0.4698,0.6246,0.4323,0.4903,85,0.26073
sz002185,华天科技,30,155,0.5355,0.4571,0.6122,0.4774,0.4968,83,0.42194
sh600036,招商银行,5,155,0.5677,0.489,0.6432,0.4387,0.4645,88,0.10788
sh600036,招商银行,10,155,0.4839,0.4065,0.562,0.4581,0.5484,75,0.74811
sh600036,招商银行,15,155,0.4968,0.4191,0.5746,0.4645,0.5161,77,1.0
sh600036,招商银行,20,155,0.5484,0.4698,0.6246,0.471,0.5226,85,0.26073
sh600036,招商银行,30,155,0.471,0.394,0.5493,0.4581,0.529,73,0.52063
